"checkbox-themes","radio-consulter-offres-publiques","radio-rejoindre","checkbox-pourquoi","checkbox-souhaits","radio-type-contrat","radio-lieu","text-lieu","number-salaire-min","number-salaire-souhait","checkbox-acceptation","text-condition","radio-genre","radio-metiers","text-autre-metier","number-experience","date"
"Écologie, Justice, Affaires étrangères, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En région parisienne","Paris","3500","3900","Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","11","2019-07-22T13:04:38+00:00"
"Écologie, Justice, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Je ne sais pas","Servir l'intérêt général, Travailler au côté de métiers différents du mien, Pour ne pas faire uniquement des tâches techniques, Pour réorienter ma carrière","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Nantes","3000","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Travailler en méthodes agiles","","Un homme","Développement frontend","","15","2019-07-22T13:02:47+00:00"
"Écologie, Santé, Éducation nationale, Agriculture et alimentation, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'une région, Au sein d'un département","CDD (2-3 ans)","En métropole","Yonne ","2000","3000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","Droit à la déconnexion en dehors des heures de travail","Un homme","Développement backend","","1","2019-07-22T12:45:10+00:00"
"Écologie, Éducation nationale, Culture","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","nantes","2000","2600","Pouvoir travailler à 80-100% en télétravail, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","Etre au 4/5 (si pas de téletravail)","Une femme","Autre","QA / Tests / Automatisation","12","2019-07-22T11:39:42+00:00"
"Éducation nationale, Enseignement supérieur et recherche","Oui","Oui","Pour avoir un travail stable","Au sein d'un ministère","CDI","En métropole","Avignon","1800","2500","Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Administration système","","17","2019-07-22T10:11:07+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En région parisienne","PARIS ou LYON","2300","3000","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Avoir un accès à Internet sans aucun filtrage","","Une femme","Autre","Consultant AMOA SI / Digital","2","2019-07-22T10:00:51+00:00"
"Écologie, Éducation nationale, Culture","Non","Oui","Donner du sens à mon travail, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour ne pas faire uniquement des tâches techniques","Au sein d'un département, Au sein d'une commune","CDI","En métropole","Nantes, Toulouse, Bordeaux","1400","1700","Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Une femme","Autre","Designer graphique et assistante communication","2","2019-07-22T08:56:07+00:00"
"Écologie, Culture","Non","Je ne sais pas","Pour réorienter ma carrière","Au sein d'une commune","CDD (2-3 ans)","En outre-mer","","2000","2800","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil)","","Une femme","Communication","","30","2019-07-22T08:22:08+00:00"
"Écologie, Justice, Éducation nationale, Culture, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En métropole","","2800","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels, Autre","Rencontrer et faire des tests uilisateurs","Un homme","Développement fullstack","","5","2019-07-22T07:02:23+00:00"
"Éducation nationale, Renseignement, lutte contre la fraude","Oui","Oui","Servir l'intérêt général","Au sein d'une région, Au sein d'un département","CDI","En métropole","","2000","2500","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Product management","","25","2019-07-22T06:14:50+00:00"
"Affaires étrangères, Défense, Renseignement, lutte contre la fraude","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","Ile de France","4000","5000","Avoir des horaires de travail flexibles, Avoir un accès à Internet sans aucun filtrage","","Un homme","Autre","Risk & Fraud Manager","8","2019-07-22T06:06:57+00:00"
